BOS मैं बाल्टीमोर से डलास तक की राउंड ट्रिप के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip atis_flight
BOS मुझे मिल्वौकी से सेंट तक दैनिक उड़ानों की सूची चाहिए।  EOS\t	O O O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मैं 2 मार्च को जेएफके से लास वेगास के लिए एक नॉनस्टॉप उड़ान चाहूंगा EOS\t	O O O O B-flight_stop O O B-fromloc.airport_code O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number atis_flight
BOS अटलांटा से पिट्सबर्ग के लिए एकतरफ़ा उड़ानें सबसे सस्ती कौन सी हैं? EOS\t	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या आप शिकागो से सेंट तक सभी उड़ानें सूचीबद्ध कर सकते हैं?  EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS ओकलैंड हवाई अड्डा शहर से कितनी दूर है? EOS\t	O O O B-fromloc.airport_name I-fromloc.airport_name O O atis_distance
BOS कल डेनवर से फिलाडेल्फिया के लिए कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O B-depart_date.today_relative O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS शनिवार या रविवार को मिल्वौकी से फीनिक्स के लिए अमेरिकी एयरलाइंस की उड़ानें EOS\t	O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-or B-depart_date.day_name B-airline_name I-airline_name atis_flight
BOS मुझे अगले बुधवार की सुबह फिलाडेल्फिया से डलास के लिए उड़ान चाहिए EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name O O B-depart_time.period_of_day atis_flight
BOS फ़ीनिक्स बुधवार को नेवार्क के लिए EOS\t	B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS मैं चाहता हूं कि बोस्टन से अटलांटा जाने वाली उड़ानें छह अगस्त को दोपहर में रवाना हों EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number O O B-depart_time.period_of_day atis_flight
BOS मुझे 1 बजे से पहले आने वाली सैन फ्रांसिस्को की उड़ानें दिखाओ EOS\t	O O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time atis_flight
BOS मैं नाश्ते की उड़ान पर अटलांटा में रुकते हुए फिलाडेल्फिया से डलास के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O O O B-stoploc.city_name O O B-meal_description O atis_flight
BOS मैं अटलांटा से डेनवर पहुंचने वाली आपकी शुरुआती उड़ानों के बारे में कुछ जानकारी चाहता हूं EOS\t	O O O O O O O B-flight_mod O O O O B-fromloc.city_name O O B-toloc.city_name atis_flight
BOS कौन सी एयरलाइंस वाशिंगटन और डेनवर के बीच सीधी उड़ानें प्रदान करती हैं EOS\t	O O O B-connect O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS मैं पिट्सबर्ग से फिलाडेल्फिया तक की सभी उड़ानें फिर से देखना चाहूंगा EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS सैन फ्रांसिस्को से इंडियानापोलिस होते हुए वाशिंगटन तक कौन सी उड़ानें जाती हैं EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-stoploc.city_name atis_flight
BOS डलास से बोस्टन के लिए मुझे कौन सी नवीनतम उड़ान मिल सकती है EOS\t	O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS एसी और जैसी कौन सी एयरलाइंस हैं EOS\t	O O O B-airline_code O B-airline_code atis_airline
BOS अगले गुरुवार शाम 7 बजे के आसपास शिकागो से कैनसस सिटी तक पहुंचने वाली उड़ानों के लिए प्रथम श्रेणी और कोच का किराया क्या है? EOS\t	O O O B-class_type I-class_type O B-class_type O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name atis_airfare
BOS क्या हम डीसी से डलास तक हवाई उड़ान भरते हैं? EOS\t	O B-airline_name I-airline_name O O B-fromloc.state_code O B-toloc.city_name atis_flight
BOS अब मैं डेट्रॉइट से सेंट तक की उड़ानें देखना चाहूंगा।  EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS सैन फ्रांसिस्को से प्रस्थान करने वाली और आठ नवंबर को ओकलैंड पहुंचने वाली सबसे पहली उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number atis_flight
BOS बोस्टन से सैन फ्रांसिस्को तक प्रथम श्रेणी टिकट की राउंड ट्रिप लागत क्या है? EOS\t	O O O B-round_trip I-round_trip O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS मैं शुक्रवार सुबह 10 बजे के बाद सैन फ्रांसिस्को से पिट्सबर्ग के लिए उड़ान चाहूंगा EOS\t	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS मुझे दोपहर 12 से 4 बजे के बीच पिट्सबर्ग छोड़ने वाली सभी हवाई उड़ानें दिखाएँ EOS\t	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-depart_time.start_time O B-depart_time.end_time O O B-depart_time.period_of_day atis_flight
BOS कृपया चार्लोट से मिनियापोलिस के लिए दोपहर की उड़ानों की सूची बनाएं EOS\t	O O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मंगलवार, तेरह जुलाई को चार्लोट से अटलांटा लौटने वाली कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number atis_flight
BOS बरबैंक से डेनवर तक सभी उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या आपके पास डलास से सैन फ्रांसिस्को के लिए यूनाइटेड एयरलाइंस की कोई उड़ान है EOS\t	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS सोमवार सुबह न्यूयॉर्क और ला के बीच किराया क्या है? EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_airfare
BOS मुझे पिट्सबर्ग से बाल्टीमोर तक की उड़ानें दिखाओ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS उत्तर पश्चिम की कौन सी उड़ानें दोपहर से पहले डेनवर से रवाना होती हैं EOS\t	O B-airline_name O O B-fromloc.city_name B-depart_time.time_relative B-depart_time.time atis_flight
BOS मुझे न्यूयॉर्क से मियामी तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS फ़िलाडेल्फ़िया से डलास तक जाने वाली आपकी सबसे पहली उड़ान कौन सी है? EOS\t	O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS सोमवार को डेनवर से प्रस्थान करने वाली महाद्वीपीय उड़ानों की सूची बनाएं EOS\t	O O O O B-airline_name O B-fromloc.city_name O B-depart_date.day_name atis_flight
BOS मुझे मंगलवार को डलास से अटलांटा तक की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS डेनवर से अटलांटा के लिए सबसे कम खर्चीली उड़ान कौन सी है? EOS\t	O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं अटलांटा से बोस्टन के लिए नवीनतम उड़ान जानना चाहता हूँ EOS\t	O O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बोस्टन से ओकलैंड के लिए डेनवर में रुकने वाली कोई भी उड़ान ढूंढें EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O O B-stoploc.city_name atis_flight
BOS मैं यथासंभव सुबह बाल्टीमोर से बोस्टन के लिए उड़ान चाहता हूँ EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.period_mod O O B-depart_time.period_of_day O O O atis_flight
BOS मैं डेनवर से बोस्टन के लिए उड़ान भरना चाहूंगा EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं कॉन्टिनेंटल एयरलाइंस की एक उड़ान चाहूंगा जो बोस्टन से रवाना होकर डेनवर में रुके और सैन फ्रांसिस्को पहुंचे EOS\t	O O O O O O B-airline_name I-airline_name O O B-fromloc.city_name O O O O B-stoploc.city_name O O O B-toloc.city_name I-toloc.city_name atis_flight
BOS मुझे सितंबर 1991 के लिए डेनवर से सैन फ्रांसिस्को के लिए उड़ानों की एक सूची दिखाओ EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.month_name B-depart_date.day_number B-depart_date.year atis_flight
BOS अगले रविवार को सैन जोस से ह्यूस्टन के लिए उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS डलास फोर्ट वर्थ से अटलांटा के लिए कौन सी उड़ानें उपलब्ध हैं EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS प्रतिबंध AP57 क्या है EOS\t	O O O B-restriction_code atis_restriction
BOS बोस्टन से सैन फ्रांसिस्को जाने वाली उड़ान के डेनवर में रुकने के बारे में क्या ख़याल है? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name atis_flight
BOS सोमवार को डेनवर से फिलाडेल्फिया EOS\t	B-fromloc.city_name O B-toloc.city_name B-depart_date.day_name atis_flight
BOS कृपया बोस्टन से सैन फ्रांसिस्को के लिए एकतरफ़ा उड़ान EOS\t	O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O atis_flight
BOS बोस्टन से ऑरलैंडो तक कौन सी उड़ानें जाती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS प्रत्येक एयरलाइन के पास प्रथम श्रेणी सेवा वाली कितनी उड़ानें हैं EOS\t	O O O O O O O O B-class_type I-class_type O atis_quantity
BOS क्या आपके पास बोस्टन से फिलाडेल्फिया के लिए 9 बजे की उड़ान है? EOS\t	O O O O B-depart_time.time I-depart_time.time O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS 733 की क्षमता क्या है EOS\t	O O O O O B-aircraft_code atis_capacity
BOS सिनसिनाटी से न्यूयॉर्क शहर के लिए कौन सी डेल्टा उड़ानें शनिवार शाम 6 बजे से पहले न्यूयॉर्क शहर पहुंचती हैं EOS\t	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O O B-toloc.city_name I-toloc.city_name I-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name atis_flight
BOS गुरुवार को फिलाडेल्फिया से सैन फ्रांसिस्को के लिए उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_date.day_name atis_flight
BOS मुझे उसी दिन अटलांटा से बोस्टन के लिए नवीनतम वापसी उड़ान का पता लगाएं EOS\t	O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name O O O B-return_date.date_relative atis_flight
BOS मैं बुधवार शाम को मिल्वौकी से ऑरलैंडो के लिए उड़ान भरना चाहता हूं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS मुझे न्यूयॉर्क से मियामी तक मंगलवार को प्रस्थान करने वाले प्रथम श्रेणी के सभी किराये दिखाओ EOS\t	O O O B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name atis_airfare
BOS अटलांटा से ओकलैंड के लिए नॉनस्टॉप उड़ान दोपहर में रवाना होती है और शाम 5 बजे पहुंचती है EOS\t	O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.period_of_day O O O B-arrive_time.time I-arrive_time.time atis_flight
BOS कृपया पिट्सबर्ग से न्यूआर्क तक उड़ान के समय की सूची बनाएं EOS\t	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS क्या किसी एयरलाइन के पास बोस्टन से डेनवर के लिए दोपहर की शुरुआती उड़ान है EOS\t	O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS बारह अक्टूबर को अटलांटा से डेनवर के लिए प्रस्थान करने वाला सबसे सस्ता एकतरफ़ा टिकट कौन सा है? EOS\t	O O O B-cost_relative I-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS मुझे अटलांटा से बाल्टीमोर के लिए सुबह की उड़ान दीजिए EOS\t	O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS वे कौन से शहर हैं जहां अमेरिकन एयरलाइंस सेवाएं देती हैं EOS\t	O O O O O B-airline_name I-airline_name O atis_city
BOS बोस्टन में किराये की कारें EOS\t	B-transport_type I-transport_type O B-city_name atis_ground_service
BOS बाल्टीमोर से अटलांटा तक का एकतरफ़ा टिकट सबसे सस्ता क्या है? EOS\t	O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS मुझे न्यूयॉर्क से मियामी तक आने-जाने का किराया दिखाओ EOS\t	O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS यदि आप कर सकते हैं तो सभी डेल्टा उड़ानें हर जगह के लिए EOS\t	O B-airline_name O O O O O O atis_flight
BOS मैं सुबह 7 बजे के आसपास निकलना चाहूँगा EOS\t	O O O O O B-depart_time.time_relative B-depart_time.time I-depart_time.time O O B-depart_time.period_of_day atis_flight
BOS बुधवार दोपहर को अटलांटा से बोस्टन के लिए उड़ानों की सूची बनाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS मुझे अटलांटा से डेनवर तक की उड़ान के बारे में जानकारी चाहिए EOS\t	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे इस रविवार को मियामी से लास वेगास के लिए उड़ान की आवश्यकता है और मैं सुबह की उड़ान पसंद करूंगा EOS\t	O O O O O B-depart_date.day_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-depart_time.period_of_day O atis_flight
BOS मुझे कोच श्रेणी के किराये के साथ मियामी से न्यूयॉर्क तक की नॉनस्टॉप उड़ानें दिखाओ EOS\t	O O B-flight_stop O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-class_type I-class_type O atis_flight
BOS मुझे अगले मंगलवार को चार्लोट से अटलांटा तक की उड़ानों के बारे में बताएं EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_date.date_relative B-depart_date.day_name atis_flight
BOS बाल्टीमोर से फिलाडेल्फिया तक सभी उड़ानों की सूची बनाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS सैन फ्रांसिस्को में कौन सा जमीनी परिवहन उपलब्ध है? EOS\t	O O O O O O B-city_name I-city_name atis_ground_service
BOS कृपया मंगलवार को न्यूयॉर्क से मियामी के लिए उड़ानें सूचीबद्ध करें EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name atis_flight
BOS मुझे प्रथम श्रेणी उड़ानों वाली एयरलाइंस दिखाओ EOS\t	O O O O O B-class_type I-class_type O atis_airline
BOS मुझे न्यूयॉर्क से मियामी तक राउंड ट्रिप के प्रथम श्रेणी टिकट दिखाओ EOS\t	O O B-round_trip I-round_trip B-class_type I-class_type O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS क्या मैं सैन फ्रांसिस्को से बाल्टीमोर के लिए उड़ान भर सकता हूँ? EOS\t	O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे शनिवार को डेनवर से फिलाडेल्फिया के लिए उड़ान चाहिए EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS सभी उपलब्ध भोजन क्या हैं EOS\t	O O O O O B-meal atis_meal
BOS मुझे दोपहर 1 बजे से पहले आने वाली बोस्टन से सैन फ्रांसिस्को की उड़ानें दिखाओ EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS प्रतिबंध AP80 क्या है EOS\t	O O O B-restriction_code atis_restriction
BOS मैं बोस्टन से पिट्सबर्ग रुकते हुए सैन फ्रांसिस्को जाना चाहूँगा EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name atis_flight
BOS डलास से ह्यूस्टन के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS यूनाइटेड पर बोस्टन से सैन फ्रांसिस्को तक की राउंड ट्रिप प्रथम श्रेणी का किराया क्या है? EOS\t	O O O B-round_trip I-round_trip B-class_type I-class_type O O B-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS डलास में किराये की कार की दरें क्या हैं? EOS\t	O O O B-transport_type I-transport_type O O B-city_name atis_ground_fare
BOS मैं सैन फ्रांसिस्को से अटलांटा के लिए जल्द से जल्द उड़ान ढूँढना चाहता हूँ EOS\t	O O O O O B-flight_mod O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS क्या आप मुझे बता सकते हैं कि आपके पास बोस्टन से सैन फ्रांसिस्को के लिए प्रतिदिन चलने वाली कौन सी उड़ानें हैं EOS\t	O O O O O O O O O O B-flight_days O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O atis_flight
BOS किस एयरलाइन के पास सबसे अधिक बिजनेस क्लास उड़ानें हैं EOS\t	O O O O B-mod B-class_type I-class_type O atis_airline
BOS सोमवार सुबह डलास से पिट्सबर्ग के लिए कौन सी उड़ानें हैं? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS डलास से मिल्वौकी तक उड़ान EOS\t	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS ठीक है, दोपहर में ऑरलैंडो से क्लीवलैंड के लिए हमारी कौन सी उड़ानें हैं EOS\t	O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O O O B-depart_time.period_of_day atis_flight
BOS मुझे पिट्सबर्ग से सैन फ्रांसिस्को तक के किराये वाली सभी उड़ानें दिखाएँ EOS\t	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS यूनाइटेड एयरलाइंस डेनवर में रुक रही है EOS\t	B-airline_name I-airline_name O O B-stoploc.city_name atis_flight
BOS क्या कल सुबह कोलंबस से नैशविले के लिए कोई उड़ान है? EOS\t	O O O O B-depart_date.today_relative B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे यूनाइटेड एयरलाइंस की सभी प्रथम श्रेणी उड़ानें दिखाओ EOS\t	O O O B-airline_name I-airline_name B-class_type I-class_type O atis_flight
BOS सैन फ्रांसिस्को से ऑरलैंडो तक सबसे कम किराया EOS\t	B-cost_relative O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_airfare
BOS कौन सी एयरलाइंस की बोस्टन से डलास के लिए दैनिक उड़ानें हैं EOS\t	O O O B-flight_days O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS मुझे शाम 4 से 5 बजे के बीच पिट्सबर्ग से बाल्टीमोर आने वाली उड़ानें दिखाओ EOS\t	O O O O O B-toloc.city_name O B-fromloc.city_name O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time atis_flight
BOS क्या अमेरिकन एयरलाइंस फिलाडेल्फिया से डलास तक उड़ान भरती है? EOS\t	O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया मुझे बरबैंक से टैकोमा तक की सभी राउंड ट्रिप उड़ानें दिखाएं EOS\t	O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे सैन फ्रांसिस्को से बोस्टन के लिए एक उड़ान चाहिए जो रात 10 बजे के बाद रवाना हो EOS\t	O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS कॉन्टिनेंटल पर शिकागो से सिएटल तक की सभी उड़ानों की सूची बनाएं जो शनिवार को प्रस्थान करती हैं और भोजन परोसती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O B-airline_name O O O B-depart_date.day_name O O B-meal atis_flight
BOS मुझे पिट्सबर्ग से सैन फ्रांसिस्को के लिए उड़ान कार्यक्रम दिखाओ EOS\t	O O O B-flight_time I-flight_time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS मुझे सैन फ्रांसिस्को और अटलांटा और पिट्सबर्ग से डलास के लिए उड़ानें दिखाओ EOS\t	O O O O B-toloc.city_name O B-fromloc.city_name I-fromloc.city_name O B-fromloc.city_name O B-fromloc.city_name atis_flight
BOS बोस्टन से पिट्सबर्ग तक एक राउंड ट्रिप उड़ान के लिए यात्रा व्यवस्था खोजें EOS\t	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS वाशिंगटन से सैन फ्रांसिस्को के लिए मैं कौन सी नवीनतम उड़ान ले सकता हूँ? EOS\t	O O O B-flight_mod O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS मुझे सैन फ्रांसिस्को से अटलांटा तक की उड़ानों का समय दिखाएँ EOS\t	O O B-flight_time O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS न्यूयॉर्क शहर से लास वेगास तक उड़ानें दिखाएं EOS\t	O O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS सेंट से शुरुआती उड़ानों की सूची बनाएं।  EOS\t	O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS जनरल मिशेल इंटरनेशनल पर आने वाली सभी उड़ानों की सूची बनाएं EOS\t	O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_flight
BOS मुझे बाल्टीमोर से डलास तक की गैर प्रथम श्रेणी उड़ानें दिखाओ EOS\t	O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कृपया पहले मंगलवार अक्टूबर को फिलाडेल्फिया से डलास के लिए अमेरिकन एयरलाइंस की उड़ानों की सूची बनाएं EOS\t	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number atis_flight
BOS मैं 2 मार्च को न्यूयॉर्क से लास वेगास के लिए एक नॉनस्टॉप उड़ान चाहूंगा EOS\t	O O O O B-flight_stop O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-arrive_date.month_name B-arrive_date.day_number atis_flight
BOS क्या आपके पास सुबह-सुबह डेनवर से सैन फ्रांसिस्को के लिए अमेरिकन एयरलाइंस की उड़ान है? EOS\t	O O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-depart_time.period_of_day B-depart_time.period_of_day atis_flight
BOS मॉन्ट्रियल और फ़ीनिक्स से लास वेगास के लिए उड़ानें एक ही समय पर आ रही हैं EOS\t	O O B-fromloc.city_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O atis_flight
BOS शाम 6 बजे के बाद बाल्टीमोर के लिए सभी उड़ानें EOS\t	O O O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS पिट्सबर्ग और बाल्टीमोर के बीच संयुक्त उड़ानें दिखाएं EOS\t	O B-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS कौन सी एयरलाइंस बोस्टन से पिट्सबर्ग तक उड़ान भरती हैं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS पिट्सबर्ग से ओकलैंड तक उड़ानें दिखाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS बुधवार की सुबह बाल्टीमोर से नेवार्क के लिए एक प्रारंभिक उड़ान EOS\t	O B-flight_mod O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS मैं फ़िलाडेल्फ़िया से सैन फ़्रांसिस्को के लिए अमेरिकन एयरलाइंस की एक उड़ान शेड्यूल करना चाहता हूँ जो डेनवर में रुकती हो EOS\t	O O O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O O B-stoploc.city_name atis_flight
BOS AP57 का क्या मतलब है EOS\t	O O B-restriction_code O atis_abbreviation
BOS गुरुवार की सुबह मिल्वौकी से ऑरलैंडो के लिए उड़ानें दिखाएं EOS\t	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS डेनवर से साल्ट लेक सिटी के लिए उड़ान EOS\t	O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS सोलह सितंबर को फिलाडेल्फिया और डेनवर के बीच उड़ानें दिखाएं EOS\t	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS पिट्सबर्ग से अटलांटा तक हवाई किराया क्या है? EOS\t	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS अमेरिकी एयरलाइन की उड़ान 315 में किस प्रकार के विमान का उपयोग किया जाता है? EOS\t	O O O O O O O B-airline_name I-airline_name O B-flight_number atis_aircraft
BOS ग्राउंड ट्रांसपोर्टेशन अटलांटा EOS\t	O O B-city_name atis_ground_service
BOS सैन जोस से ह्यूस्टन के लिए नवीनतम उड़ान क्या है? EOS\t	O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS मुझे बुधवार को फ़ीनिक्स से रवाना होने वाली और मिल्वौकी पहुंचने वाली अमेरिकी एयरलाइन की उड़ानें दिखाओ EOS\t	O O O B-airline_name I-airline_name O O B-fromloc.city_name O B-depart_date.day_name O O O B-toloc.city_name atis_flight
BOS मुझे अन्य हवाई अड्डों से लव फील्ड पर आने वाली सभी उड़ानें दिखाओ EOS\t	O O O O O O B-toloc.airport_name I-toloc.airport_name O O O atis_flight
